transaction_hash,from_wallet,to_wallet,amount,token_type,timestamp,gas_fee,transaction_type
0x1a92e0a276b14bb585a66905886a00e9,0xde00d291b60445b299999b8d5a3c834b,0xff60ce7174cf41c5b9b09f8e38dbaec1,139.34,USDC,2024-03-01T00:17:50,0.0318,normal
0xa1b8b40cf4cc431f8cc5dd060fe4cb8d,0xe900ee4372dc46aeb2d1c7f52fe9cb3c,0x909917e346a147d3ad6e2a972aad3e3e,56.35,USDT,2024-03-01T01:06:20,0.0436,normal
0x4d28642454f3474aa3781a7a74799f2c,0xaefed7bf8b2640a0829c0308fd1bb900,0x55092708d08f42cea7da56ae887e7615,131.31,BTC,2024-03-01T02:03:01,0.0975,normal
0x2d1423f322bd4da98d7782518054657a,0xe0552932afac4a84945ac9aafb36f707,0xc97eb944a5ba4fdfbdbf68e367d34284,33.66,USDT,2024-03-01T02:40:10,0.0151,normal
0xe64fa91ef776492f9bb8781d731978c5,0x80b940a0197e45f5991f59d06e51a80d,0x9a69928d0fd949ad936b7f74cc1f440c,142.79,BTC,2024-03-01T03:14:21,0.0744,normal
0x8a0a373e905c4cd8ae9fe6102a31be2d,0xbfed351b81044bfb8e049a79d2b3acb4,0x5c63128cbaf54b09ab69d9960f526f34,29.48,USDT,2024-03-01T04:16:59,0.0825,normal
0x03b135a8df254bb4a0519ffc81afb377,0xbfb0d9b0dfcc4f5e8c61120c6ec31ed4,0x65947c3f19bd408ca6976c90e14ee0bf,44.6,BTC,2024-03-01T04:49:23,0.0743,normal
0xfd93f03f31034cc189ec8c0495d20efa,0xde00d291b60445b299999b8d5a3c834b,0x65e5c1eca6db41979d21267f689f9dfb,86.61,BTC,2024-03-01T05:02:09,0.0515,normal
0x8f59e104bc83469ab6dd5318b629c559,0x5474c71578f942049156ededa150d326,0x1a883aad118540688b28d4e0ecf6c854,37.71,USDC,2024-03-01T06:23:13,0.0856,normal
0xbad1760a4b7f44bcb4e81f3dbe08580b,0x0a16faa8574648b08c1895efa2643cd8,0x60e78f297c0842bc88ecdb7c66bf9236,105.68,USDT,2024-03-01T07:23:30,0.0216,normal
0xacf0a8d12aa549759a9bb1e5575c41eb,0xafa0f6fb8687428bbdae040439fe9c2e,0xeb1879452e3b4d8e82228fd16bfdafee,113.34,USDC,2024-03-01T07:48:40,0.069,normal
0x281defc756124037b4c1d2120fba581e,0xbef97c60479346319ace8f1ad64c3889,0x849d2d06625646e8bf1cd1def5588aec,134.38,USDT,2024-03-01T08:00:27,0.0757,normal
0x098c1cf99f8c4390adc6f2e046745c13,0x8a23d1cdf0014117b9307586b89de4e1,0x34481af878894f84a0776619ac18584a,27.2,USDC,2024-03-01T08:26:31,0.0525,normal
0xa476c753c35e499c8037e16d8e7088f3,0xed10079475444ad49eb8c44fd431ef33,0x9deb014250104c90af2d6082f8a927c1,147.54,BTC,2024-03-01T09:34:04,0.0998,normal
0xe16c6e7b135f45b09f39e5bf46fed02c,0xb0fdd728a9c04286a7e7b944a4c4f223,0xeb0f8e16aaf248c387749ee27f9775a2,57.53,USDC,2024-03-01T10:00:19,0.0485,normal
0xcdf7c650af204563b6ea917f9f27e23a,0x187cc30e8d5e44dda85936be0746e665,0xb1f3be3c973f493b9feb63490aaa4cdb,38.92,USDT,2024-03-01T10:31:08,0.0278,normal
0x0f4f5eff72814165bb01426308a82d53,0xa0e9db6f56b54e7f901369e78c6934eb,0xbefff6470a194640ac231702472fba47,25.91,BTC,2024-03-01T10:46:05,0.0941,normal
0xb20bb1138ad04aa9b78be82903a304b9,0x7b7684306f8b40b688c79a91ebabf9e7,0xb0fdd728a9c04286a7e7b944a4c4f223,104.92,USDC,2024-03-01T11:32:04,0.0591,normal
0x195e53368634412985e00f04015c28c8,0x77c1f713094340ac8eb23103bae1e4ef,0x371df5c9c77a441b8d13919f9f4c6363,127.8,BTC,2024-03-01T11:44:09,0.0286,normal
0x49ba1e7db5834e45927ca748c3d23e09,0x566828f5c4834d87ae76fad76f3a54f0,0x518dc86342244040a1133b43c08711ab,112.59,USDC,2024-03-01T12:42:56,0.0873,normal
0xedc58167f0dc42169f0a7700a786ab9c,0xe9f3c90774c945949a9a86630d9e4913,0xc761583ed3274adb9106d375879cb3fd,142.82,USDT,2024-03-01T12:52:35,0.085,normal
0x6a73f7f8aaab4aadbc5cf26c015bcba3,0x0046a9b445be42149edbb21a1a9c2502,0x07b0625afe9a4431a2b4ba667bc32f9a,149.72,USDC,2024-03-01T13:33:17,0.0385,normal
0x13df26ca02a14e3fae95b28349c6c35d,0x567eb709d1064269b8a220639495502d,0xcfdf5c500d2f41c69786ebbca57370a5,131.37,USDT,2024-03-01T13:53:05,0.0815,normal
0x0bd92ccdba124252a0eca6aae5951628,0xd4e554af3fef487bb934a0e65225a3e6,0xa0e9db6f56b54e7f901369e78c6934eb,75.36,USDC,2024-03-01T14:04:34,0.0204,normal
