transaction_hash,from_wallet,to_wallet,amount,token_type,timestamp,gas_fee,transaction_type
0xc265c50d79d8413b8177d99c9af2a672,0xde2d006541c143c399750209774c881d,0xa4884274c994407f89f0ebb0905366a5,49.65,DAI,2024-01-01T00:02:30,0.0586,normal
0x4acca6b7457140d793f92acbca53bd0b,0x60dc4ba832a64ba69cb111730d083b21,0x278699fe9a4342ada6f14a61c653bca1,69.68,USDT,2024-01-01T00:45:42,0.0234,normal
0x8eac321bdaeb4b12b1e88b10e22831d4,0x465c2c9dca3741c88655fcf715ed9242,0x624069aa23744c5382b7f2f8ecd0ebaa,95.28,BTC,2024-01-01T01:40:40,0.0385,normal
0xcad99c4c64704129bdfd3a15c51f3629,0xfdf63e0fe001479aacd70abd82ee6920,0x2678b57500ad45c1a7990f2d7ad9a581,43.89,DAI,2024-01-01T01:47:17,0.0126,normal
0x72308110683d40c9b50edb1f8721baf6,0x394801b4ec894912b35ce919a71418cf,0x543386fc9c7243a78327796b4d1a5163,78.74,USDT,2024-01-01T03:09:25,0.0834,normal
0xeea0a2378ab54239b8317b992536966f,0x647d4b5162054f0087ac19da0fdb4979,0xa1f70879d0ad410fbd9f1ee0a1fd585a,53.94,ETH,2024-01-01T03:54:16,0.0259,normal
0x033411c05b114c19b9b06707e7f88ff0,0x075325aff0da4add902e0793782fb06b,0x817b9955225c4e0cb93538c9cd6c4eb0,54.82,ETH,2024-01-01T04:39:52,0.0614,normal
0x3bda73d8e1ce4c75a38de19c12da13f8,0x2738be7dd3b247a0b49ecd9060172c7f,0x6695a08acbb94c8e921a6624dc02359f,191.14,BTC,2024-01-01T05:02:02,0.0163,normal
0xbdd0ebabc356446a8ab3d3aceb019a96,0x3532796801ea49a18d77df5871d46eea,0xde23bce1260546b39dc8eced65951451,7.99,USDT,2024-01-01T06:52:17,0.0616,normal
0xef875c4a471f43508a84211317baf3b3,0xb5f2a76163e24b1eb297c2b6d6250309,0x950f67661cd44b45adcfe40c3fb38ed5,82.12,USDT,2024-01-01T06:59:46,0.0211,normal
0x15b2b95148174014a151b8d4de1f78e1,0xbd72c3ff919a45e3a2dd1c2331d0c34d,0xa1f70879d0ad410fbd9f1ee0a1fd585a,20.48,BTC,2024-01-01T07:20:24,0.0287,normal
0x0cdf3a90008d4029bdab9b612b86fd7a,0x08db38a6e39a4d1cb15baadf581042ba,0x8d5eb2c149484a3aa8e358c95402a46c,29.05,USDT,2024-01-01T07:29:57,0.0456,normal
0xea23562018814f02b036fd623d50a0de,0x146a5893647047819ce26880ffb98862,0xe0f26c9be9bd470cb5d4420c81beefaf,168.24,USDT,2024-01-01T07:36:13,0.0084,normal
0xbc953e32e3114c368124cba9407e67e4,0xc14784b284ce49b1bfe79b046f28da6f,0xc89a5184ffb24a6390f8a024c2dfc0b0,66.77,ETH,2024-01-01T08:23:33,0.0029,normal
0x8c554398d79c4f60b4a5857e17f514c2,0x6225255aae9345a89eceaaf740a5987f,0x89f3713c9efd40a4870d9d9246b512d4,61.63,BTC,2024-01-01T08:25:05,0.0294,normal
0x4c806325ee024cb1a0edbdac04200f83,0x31e19e6079294ddc958ba95159a1a620,0x267e585dd53c46e5ac12dd5c0c2c034b,175.11,DAI,2024-01-01T09:33:59,0.086,normal
0x0a963ad59b004d41bf2400bf765f7e1a,0x1b5a71cd4b4b4ee2bc4cb0d9a24685a4,0xde2d006541c143c399750209774c881d,70.19,ETH,2024-01-01T10:25:40,0.0685,normal
0xf0370ddba39b4b0282ecb3513e3f24e8,0xd490d9d3148a4be3a259b9f06a235606,0xa4983e4672214673b0d665578c0cbeaa,176.23,USDC,2024-01-01T10:26:23,0.0464,normal
0xb1e863bac5be41a2b4c555dbd3e6225c,0xc4bd51ad265d4478b7b9168706880d60,0xb4e3e73fc4f04da3af0f0a49491bc56b,104.62,USDC,2024-01-01T10:48:13,0.0247,normal
0x999b79691aa34f909294d22d070ec713,0x3d54f66fafaa4ed798b5bc17dc458243,0x335a77b73fb44a95a9caf40ede075431,197.11,USDT,2024-01-01T10:50:28,0.0031,normal
0xd500957b4c664e7fa6468a430d25fba9,0xee77655f6348405491beeff2b1fa1ed3,0xe6508f1745ac42b6ac2eee11afeacce8,147.96,USDC,2024-01-01T11:54:41,0.0451,normal
0xf66d541135ec4d249bb299a3052fcc59,0x64deca14400d489eb2e115ba873c765d,0x3532796801ea49a18d77df5871d46eea,138.74,DAI,2024-01-01T12:11:32,0.0484,normal
0xc7a9264f339d4bd69e2b6783df4aad4b,0x05cca929068845b2bb5f6cf5899af5c2,0xeb0f81558ff74891ab5af2165fe333d1,144.33,USDC,2024-01-01T12:33:10,0.0097,normal
0x3a48ba2cf5f142dba138b4434f5ceaa2,0x6258ce0b7f7c45139424578b958bbb69,0x7ca307c3d3c048e28fa869d9d588cb32,27.3,USDC,2024-01-01T12:33:43,0.094,normal
0xb7c3ae4b0e6c4938befdf1d3308b437b,0x57840a6805284d63b3db5312b8e7ac9a,0xfcd459e557794953b30f85ef76344619,188.28,USDT,2024-01-01T12:43:57,0.095,normal
0x21889757fb20476f97c8084266933e5d,0x335a77b73fb44a95a9caf40ede075431,0xcb798c6f642041c9a49109a450dcae6a,185.82,BTC,2024-01-01T13:17:21,0.0551,normal
0xde46ed46fbf949ad8c7a81824ae4ea96,0x4b9a6bdb788d4a89b033f576275c97ec,0x21c57e868c5046619832343d271b25df,73.32,USDC,2024-01-01T13:28:54,0.025,normal
0x1205f8514adc448291788ef8f1970c8a,0x86db943a65274c369250298bb2f86d44,0x82c8073d00e74626b32a4ef7ba2a78c1,59.68,DAI,2024-01-01T14:38:29,0.0859,normal
0x53fa25a02b464f6c856fc9fe220a275b,0x25569cc572814d5aa1fee12402d928e3,0xb55d5b89177a46a2b583bcc6472668d3,60.32,USDC,2024-01-01T15:49:49,0.0188,normal
0x47525d0466fc409e91d2b0b73bb6420d,0x83fb9ac88d3843878668c5d6de371d7b,0x120243c800ad4ac3ace63426275995ac,49.07,DAI,2024-01-01T15:59:44,0.0623,normal
0x0a31bb8572094b5ca5e103bca78ea70d,0x1a3d7595faa44df1915062d0df41d636,0x38a0175d1ffa4867831752a1909fc686,131.18,BTC,2024-01-01T16:58:15,0.0094,normal
0x25a9d018ae31414a9f1fbfd843565745,0xcc978ede350f493496a8684e546b74b9,0x9a8919d92ccf4bf2ba7fa147ba793950,54.38,USDC,2024-01-01T17:52:37,0.0827,normal
0x1e9701fe6ea444589023bbba010d158c,0x9478e974ed294242b3f68c0ab6c7d568,0x66ebbce36ded4ecf8b48f3d2b1213806,133.77,USDT,2024-01-01T17:55:24,0.0333,normal
0x48f8ad9db24b4098b03f4a942e01a59e,0x267ea97f4930445ba841ef7fe970132a,0x83419eb099c1416a91a2425fec571bb9,55.67,DAI,2024-01-01T19:13:50,0.0566,normal
0x5c531b8443f74a5481611c1df1ce52f4,0x0546775592ea4185a3291399b50f0ee6,0xc96108774cb44533a77328b346b12a56,59.8,USDC,2024-01-01T19:24:22,0.0823,normal
