transaction_hash,from_wallet,to_wallet,amount,token_type,timestamp,gas_fee,transaction_type
0xbe297e2a573546ae910effce4e8e68f6,0xe06be74bcf104b00b7460bd255971c4f,0x12989e3355ad496189e431f5d3dabfe0,39.56,BTC,2024-01-01T00:11:08,0.0577,normal
0xfabd7f182f5c41ce9d31c2cacf82d942,0x14a7618590bd452a801fa66b074b79c5,0xd36cd8e4e94949dbad5972e26e30b5f5,35.26,USDT,2024-01-01T00:27:48,0.0289,normal
0x455b9a5da32e4ef3a0214d17761b9c3a,0x58af94d988db433cab8522545455425a,0x5bab9f2faeb849738c94491bcf420b05,10.93,DAI,2024-01-01T00:53:29,0.0438,normal
0x26425bf48e444ba08a0ff90402b2bf15,0xaf44943542ab4cb58b78b31892aa7814,0xf69c36174d1548249841b0d0501328e7,35.55,USDC,2024-01-01T01:08:54,0.03,normal
0xc15b62c255304fc98221a0989362289a,0xa424df8e15454cd79562ebc4ae2f0ad2,0x76dde3cdceca4a0baf255c6b150ce31d,82.97,ETH,2024-01-01T01:44:16,0.0722,normal
0x9d44249b96a9412e99ea7f9621b36e98,0xde80c08026384da9a266a38231d7f976,0xe640e6464a184c14903739bc2410f651,60.32,USDC,2024-01-01T01:51:04,0.0077,normal
0x2077575ecd4c42208417a0debf348c40,0x2272ca2b04df48af87651fe5fde4e106,0x01ed1a7ab6be45c0bbed303ff23646b0,63.87,DAI,2024-01-01T01:56:38,0.0548,normal
0xae7a901c11e545cb958880014aa438ca,0x05a849cb1b3f431c940de062c83ef3fe,0x14db72af93bd491e9ecf13381be67e2a,65.24,USDC,2024-01-01T03:00:42,0.0159,normal
0x0ef755294d4e4672bedb67c35dd9f329,0x8d50f4519d5347bd8a184a61411bb7ae,0xace22684b2aa45f6b357cd3081e5dc8f,98.53,USDC,2024-01-01T03:17:12,0.026,normal
0x4a85697d91f448fb8faa22fc4d44c003,0x4b0ac4271b754f0ea68817d440e35a32,0xc58d630ca8324a07a9dd28dc323b5ba4,69.95,ETH,2024-01-01T04:24:06,0.0629,normal
0x600c1b8051b747d9b5e7a7a75cf231e2,0x14ab9ab44f384b439d542aef74d0b6ef,0xb4e795cbbf3a44c8b9075a0586105b81,7.61,DAI,2024-01-01T05:03:42,0.0955,normal
0x7f1c34430e0c442da6751b8f6b601c16,0x9c8a99aef67847fdb7ba4e0ef79977b0,0x69523593246646519c8d10aec2f81d54,69.51,ETH,2024-01-01T07:25:43,0.0668,normal
0xf14c160fe9d945889ee2f2d9bf0430eb,0xe0fa92849e17400f8e2efcc645e73646,0x6545f15396a94fb9b41edb6c62fdc4d3,49.65,USDT,2024-01-01T09:07:33,0.0381,normal
0x2fa89d7792c341d1a0962c2b44b6bd88,0x3abf0b7526f54e01918a66aa0df6295e,0x84fb1dd7deb647fa8aca92c95ee46f4a,38.54,USDT,2024-01-01T10:05:08,0.0038,normal
0xad69bfe4cb7d40dfbddde302e204a9c9,0xae4b522f131c40eeb8427b26aa8c5526,0x07145fa7df57403d958f367f113abaf9,69.39,USDT,2024-01-01T11:43:37,0.0923,normal
0x92f889c0562a4c22a4e957c8cce04e05,0x069fb2a76adf4f58bff0473b225e6396,0x6aab730301de4ad8a8c9e8fda9215125,69.29,USDT,2024-01-01T16:06:50,0.0879,normal
0x0d9bc64d73504f388295d9897002cb22,0x15ec178913a448f5961e9806d0edf29d,0xb8abe5a618cf4debbc9837adcbffe3ba,25.15,USDT,2024-01-01T17:22:34,0.0132,normal
0x2c6a987395b04ead81e6f7b99b7bd04a,0xd1ba9ad7bb1249eea29b1c2fbbae55b8,0x343bc8b23c0b496dba4ce22a7f2a3340,82.98,USDT,2024-01-01T17:38:08,0.0689,normal
0xbfa83a4e25ff4af9a99092088800f6f8,0xa37a597b34c64cb1a0ac2ef6ae4775bb,0xb95a64e971d542df98fcbe99190c6794,21.1,USDC,2024-01-01T17:39:14,0.0812,normal
0x4ae960091c094ff781370eff4aafd52a,0xc429346105ce45c69ac26b9e13e0299c,0x9b3cf2737006438d82c712074f2f6eae,56.07,USDT,2024-01-01T17:52:22,0.0601,normal
0x780ca223565b4093b866aacfe708b608,0xb9ed46010cf144218f22e9a3cf98f747,0x2d7e32765b824a68b95accfca4af5e26,79.89,DAI,2024-01-01T18:04:55,0.0375,normal
0xf5e6d8957e274c78981aab15dc04f2b9,0x69523593246646519c8d10aec2f81d54,0xb7fcb9e3bfac4bef80e9bc0da45987f7,10.27,ETH,2024-01-01T18:14:39,0.0701,normal
0xae9bb25d5a37423d99fda6b8c88dd7e9,0x4da679a015ed443dbfb953294df650f8,0x377f249f5e8f499f839449488692d226,34.16,DAI,2024-01-01T18:20:27,0.0869,normal
0xb03042cecd5f4777a8197c87ec35b822,0x0f722bc96e2e478084f4ce5a4ac372b2,0xb45af8f67ef14084b51d725da08a91d2,15.68,USDC,2024-01-01T18:34:01,0.0568,normal
0x12851ab2192c4842a63fd9ef142ca3ea,0x2277edd9bfef4d219decc12adfba7aee,0x02008beff50742488ec681ae7c50d18d,42.54,DAI,2024-01-01T19:05:45,0.031,normal
