transaction_hash,from_wallet,to_wallet,amount,token_type,timestamp,gas_fee,transaction_type
0xb6acf0738f704a208ce818ff3e4e3c9d,0x16c5e288594040da8bda8471c3268439,0x92f9b2030e7f45bb8f02ce08f0847540,6.41,USDT,2024-01-01T02:39:01,0.0462,normal
0xf72222d4d9d04cfe9e1f6ebf203a582c,0x04ae698c2d8d41a49526c96c6a4b62b3,0x0c07feaeac2046c39ce8a8f191cfe4d3,29.2,ETH,2024-01-01T02:52:08,0.0524,normal
0xfe580267e7b047a4afca02dcb5b1ab8c,0xd6342bcff9704f3a9812072828cfb1b3,0x0f09363d5d7340a4ab2bc787e1cb06ff,27.56,USDC,2024-01-01T04:22:45,0.0682,normal
0x2482d9f204f14b24bf5fdb5b4e565a1c,0x474ae489fff142c1901cd1c5a10c465f,0xd6342bcff9704f3a9812072828cfb1b3,2.71,USDC,2024-01-01T04:23:47,0.055,normal
0xab83f4e1f2264066a5de9085545d5f11,0x807f1e8ce9ad40929aec3fd31763283e,0x6cfdfe682bcf494a83d0b2409a2ea01e,37.52,USDT,2024-01-01T05:06:45,0.0996,normal
0x658081503a204ea7855ea56aaf82c088,0xe12aa190805f4e02822c0c533d876a29,0x15866f97865f49f1a389d817c5d12b96,13.79,USDT,2024-01-01T05:52:55,0.0772,normal
0x41852a5311064ab4a185cb9f0c80d955,0x848daf5002fa444ea05fa35dfeda7d80,0x3f3229962bdf45738855d8548fc31c10,1.84,USDC,2024-01-01T06:03:36,0.0862,normal
0x7ba8f8e204114089bf29b58fb6a877c1,0x4b9d2d24c95347a398ed352b15e95a3e,0x07160d94a4874233ab94e226f491f39e,44.04,BTC,2024-01-01T07:42:32,0.0086,normal
0x05b09f7aae324fd693e28ef9dbddfa2c,0x2f151978fb3c46d39894393fafcd667c,0x9d611ea433884f1b94696fa3ddb44c3a,28.59,ETH,2024-01-01T08:43:02,0.0975,normal
0x7dd02b676ea94eb4818939fdd3c4655e,0xd16f4a0127f54c81a9998a16a31b21a9,0x73169cb179094b22af915f634add468b,31.67,USDT,2024-01-01T09:17:29,0.0149,normal
0x65532a208d3347fe84e7e90fb4747eb2,0x4525426fc3374c2cbe2a39bdbf9faee2,0x983985a6d3ca4df0a4c0ee6cf8222244,26.23,USDT,2024-01-01T09:19:39,0.0544,normal
0xf9f8cc418efe4f6c812c4b73322cca3f,0x48205f4f95ec474ea997e50d9f871063,0x3a78f87ba4644e5da331ee2a49083d08,46.66,ETH,2024-01-01T10:36:10,0.0557,normal
0xe6ff233d5bb84cf6a87c30a26836de51,0xee0b0831052d42b699c6df3fab359459,0x474ae489fff142c1901cd1c5a10c465f,45.98,ETH,2024-01-01T14:01:19,0.0772,normal
0x98df7b61a47149c4b31eb67a82bd1dae,0x564ac998002943a99dde7c860bbfa089,0x45df2bcd80ba495caa2dd3dba4f8041c,29.76,ETH,2024-01-01T14:07:41,0.076,normal
0x23c5bec862644275a794f699291e76aa,0x9c8601351bd04de686af480aa9efec61,0xade9194fe8eb48c9a3f4c72e48218375,17.81,USDT,2024-01-01T14:17:31,0.0095,normal
0x99769f0f90da4e439d2ed578b00847ea,0xb37e49f50eb441808a7c97dc53a86c26,0x1372f88085e546bab556e455e6ab8bbd,14.88,USDT,2024-01-01T14:24:50,0.024,normal
0x3453acd854be4d908e07ddd25384ff31,0x30ffff02598047be85fa5d563d1e1a98,0xc531a4afe00f4895961170a41133e1f5,4.02,USDC,2024-01-01T14:49:37,0.0296,normal
0x2daffafc656446c3a52b860171996bbc,0x49bb2c39863949529d9f9a8cf2282f36,0xd54174df89a44feca485603272306dba,15.7,ETH,2024-01-01T16:03:49,0.0997,normal
0xbd9cea2b89c64c5ab8172cca15144d14,0x724f70b45d74455597849ca13f8b8552,0x881a9667fe1b4ba097228d2f9b797bef,9.06,USDT,2024-01-01T16:11:08,0.0722,normal
0x08ea8ab4ae4f44d0aeda15070aca6b5f,0xae53188429a04cdc919612eeaf8de718,0xaa22a7bbdf544718b56f698150ffa25f,8.2,ETH,2024-01-01T16:50:11,0.0223,normal
0x9c10be23878148eaacd3d80baef01184,0x46cdc4cb88e44134ac4e7f10dde0c2a9,0x564ac998002943a99dde7c860bbfa089,24.19,USDT,2024-01-01T17:30:25,0.0205,normal
0x27f9460ea23f403da4edc78410f2127a,0xcb98203f80d94f5697e32d8690f06334,0x45df2bcd80ba495caa2dd3dba4f8041c,36.79,USDT,2024-01-01T18:16:40,0.0246,normal
0xcbe92e6728d942d7921bf21b37a6ed9b,0x47c3e89e67774309bc5879dde08f1402,0x7d2efbb63ec641efada8f1928f9b8c21,7.02,USDT,2024-01-01T23:17:06,0.0247,normal
0xf0fa3a7e998347789aea9df7c9a4e613,0x724f70b45d74455597849ca13f8b8552,0x5adc9bfca78f4d7d9cdff1efc276fc28,15.8,USDT,2024-01-02T01:19:23,0.017,normal
0x788cb73ac70f4880a1c8b04e29006f59,0x16230e575adf48288fc7a6ce7a099f6d,0xf2ee97ffaedc45a0a1920652f0a8b244,43.16,USDT,2024-01-02T02:11:49,0.0508,normal
0x5b79926793b64acf911c228d7f3ac86c,0x5f4d38a4a8a84ba494410c54be7441c3,0x432d2e2d091d40bcba91a520f0137f4f,19.83,USDT,2024-01-02T03:39:26,0.08,normal
0xcee8f9c1219c4709b3a35fdd330cf5bd,0x2b86728c579044f2a13d3205da9b5687,0x23ab145a3ca54b9bacf2302bf9d88d21,15.42,USDT,2024-01-02T03:39:54,0.061,normal
0x4dbf17f8585e4dd6966694623bb7f17d,0xe3d13637219341bdb2e5672766dc61aa,0x961359cd78f94ec18d5d8954e002b0ae,31.38,ETH,2024-01-02T04:43:08,0.0851,normal
0xa778bee55ca04b2ab9ac3d6af9921ebc,0x5dd25a3e52914da198d9c4a7022c59bd,0x9ef1cea1bda84d27aa11c01b128262d6,3.37,USDT,2024-01-02T04:56:44,0.0784,normal
0xbaca678cc49647c4a6fe17d4d46f201d,0xd166127359854e7bb130a1dafa7aa9a1,0xdabdd6ccd2b8403db3e04194576cd8a9,15.99,BTC,2024-01-02T05:24:09,0.0213,normal
0xa0da7c568a0b4b6a8c21ddf023e22ab6,0xed927859a3e9491c99beeef95d1b2824,0xb78f2691c67448a4becb63565cd02411,48.51,ETH,2024-01-02T05:34:39,0.0953,normal
0x7a69550b7a4a4227910c87285f49d0ed,0xe471e9d5168c493b931a025cf101c908,0x29c4023f18b34321b81484d98569fe55,38.06,USDT,2024-01-02T06:23:55,0.0853,normal
0x910314d0f7554dec8d660bca7bd4b042,0xbf1ee96a515248e59cda21f43b958c77,0x81e5dd3c8ecf4782b3eb834a65c464d4,30.66,USDT,2024-01-02T07:08:17,0.0224,normal
0x11c0d72566824107b6899c51985a776b,0xb78f2691c67448a4becb63565cd02411,0x6d05199d19944c8f885c36befa58e8a8,28.18,USDC,2024-01-02T07:24:57,0.0937,normal
0xc81892c2f75e4c4d8d20a8b2247aced5,0x14282dc640224e0fa6d5b3d802da32e4,0xf7a7d54263fa4ea3ac8034c579762570,26.27,USDC,2024-01-02T08:00:23,0.0699,normal
0xae859eb538414faf94430236fe3c41d3,0xf0885d8bfac34059a60075e162cc84fa,0x426d7bf0404b4b65b384d44d4075219e,24.33,BTC,2024-01-02T08:32:49,0.0202,normal
0x52a7657526fc43368846e8a2e8ef1cc6,0x33d3dea1f75841d7abc97e4366390195,0x13782a047bdf4ec390016b90daac683a,33.16,USDC,2024-01-02T12:16:25,0.0627,normal
0xe9fd95b7a3144e91990acd3ba629599c,0xcf1053f1dff14150a2c5d2d70e2211f7,0x32cdd1e8ea7f46ab9b245fdd7986ece1,6.74,USDC,2024-01-02T12:30:13,0.0061,normal
