transaction_hash,from_wallet,to_wallet,amount,token_type,timestamp,gas_fee,transaction_type
0x30f8d8af25314bb08f61ec7afb4672d7,0xc5473eb84f9149c18b0fc9a651f271ba,0xa2c0a4f34b214eab98fa2a7bb6c2b76f,24.81,DAI,2024-01-01T01:37:01,0.0181,normal
0x09ed7334267e4097901d45b60bd9bf61,0xcfc26d2368e64cf0b00f76e43b8c1743,0xaf976802211e42eabb381dacdadde725,2.64,DAI,2024-01-01T03:04:50,0.0363,normal
0x19558f0aea024401b7896054edc5d705,0x636362f8f8f64be1ad7f2a95739c20fd,0xffee975c994040f3a966e8dad1301096,19.6,DAI,2024-01-01T03:48:07,0.0446,normal
0x7fbb69ae81034da3a1663e26de066952,0x1a95c6a6010445a6b6dabf863d6cdc8c,0x331fc9ca89ba4f6c89cce5b97d815ae2,11.96,ETH,2024-01-01T05:55:27,0.0246,normal
0xede6c0945dfa4bae98420203dbd09388,0x77565aa0bdc2481a8a50c97d000f217a,0x8818ef33ccd24403b265e5990a0d7121,15.98,USDC,2024-01-01T08:34:43,0.0323,normal
0x70e7f6bd9f2c4e1c80fd90326ba0b6f7,0x05dcf8c65a114ed6bd219626c9c42488,0x58b32841e4ba4f92a9d08aa90ff41cc9,8.63,USDC,2024-01-01T09:36:30,0.0733,normal
0xf551ae36ec114199b9f3d693b0ede6f5,0xd21423e56efd4e60b91a6ced10f3fda0,0x73b1fef379774780a833f24b0532f373,18.8,USDC,2024-01-01T11:26:54,0.0893,normal
0x7eea9bdd61a84336ab8d3351fdd44be8,0xeb935e0217544ef3855c3c39a8a31bb9,0x435d1a64ca6443bb83ee717491c73272,6.51,DAI,2024-01-01T13:19:26,0.0846,normal
0x637600ffc1d94751bab9b762b8f4d0c9,0xc5473eb84f9149c18b0fc9a651f271ba,0x1bc254100d8e4af08260e1c658c7495d,23.06,DAI,2024-01-01T13:58:57,0.041,normal
0x412f4f3e75df4fe0880aa5505ac90e9c,0xe6825d0fc8bb46378fdfb0921f42f2aa,0x88093ac69e5c417fa942d76f919e23b1,23.66,USDC,2024-01-01T15:22:04,0.0131,normal
0x617801578a404e9594f7179b4e4cbfb1,0xe29ebaf0288547f29d81d4503d836e86,0x9e0d740d9462421db393b155f0c33d0a,2.86,DAI,2024-01-01T17:16:37,0.0592,normal
0x68e524a9646a4f0491dd3baa5cb1f95d,0xaa6bfd8518464c9088545313c846b83c,0x518751f908da4576b62f7e44cd2ea505,5.27,DAI,2024-01-01T18:28:04,0.0256,normal
0x2385c2c11af24549b1ea1711e58b3692,0x75b228cc070841e7820725eb524710ea,0x73cae54aad4a46569c9f4aa9e66fe052,22.28,ETH,2024-01-01T18:30:03,0.0953,normal
0x4f2b651ced564d83b49042ce8eac962f,0x1bc254100d8e4af08260e1c658c7495d,0xef7ecd2483c9401eac3b47b932951ec3,18.06,DAI,2024-01-01T18:43:38,0.0472,normal
0xfb09e2cc65f642e0bf98bbb13d07b0a9,0x56710a0846c24f878a53f5ae720a712a,0x3224886ef23f497fbc51504794b24463,5.81,DAI,2024-01-01T19:15:26,0.0801,normal
0xf201ef6f21d14f298fa0fa744f08b0cb,0x760196dadcb94a8b8371f76498a1736a,0xebdd827408f8475fbad08e3c86989f9e,5.1,ETH,2024-01-01T19:19:43,0.0211,normal
0xc74940d791e1496c9af078f0988eb9f8,0x1bc254100d8e4af08260e1c658c7495d,0x8ec1b33f67f84a368922dd0d1ef4537c,20.43,ETH,2024-01-01T20:06:14,0.0986,normal
0xde4197fe4f314c3598b883f042771fad,0x152dda9929de4a3ca00b37172ccb9dbe,0xb3559e29a96e4643ab69bb7764d57b7d,12.48,USDC,2024-01-01T21:56:43,0.0946,normal
0xf672792c91044aab96e595145eb2c68f,0xd3c91c03878a4735870ce4b1e351e1ba,0x57739a352c9243e0a56680fc11b1a325,18.58,ETH,2024-01-01T22:01:22,0.0833,normal
0xd2262bd8914e428e87813042e8deb6b0,0x8dfce7594259413ebd80ba6d41c1d185,0x7c10e1488d1a453f9694f18ecfcef204,6.55,DAI,2024-01-01T22:15:24,0.0158,normal
0xed0f3e28d5f149a8bfec2e0d6fed0ec0,0x1e0bb5bebacc42b6975587132dfd62d9,0x36deba8c2ab0423eb6c7d4f4720c41e0,12.6,DAI,2024-01-01T23:47:53,0.0153,normal
0xfa862441d7c24325b43f6ca0d3856158,0x29d26f37f88f419fbcf41f8abba2bbee,0x05dcf8c65a114ed6bd219626c9c42488,24.49,ETH,2024-01-02T00:24:25,0.0303,normal
0xe1a5fa0da9b547dd8a783751ca91994a,0x415201cdaeb846c79ee9cd73e0b27c5c,0x29d26f37f88f419fbcf41f8abba2bbee,2.59,ETH,2024-01-02T01:20:12,0.0209,normal
0xf3be20fd57da41dda762cd5e49762eeb,0x96bcfd8c08d44105b46f3fab31fa1ef2,0xcbeb69660d0f4be89b2b4903bd716477,24.38,DAI,2024-01-02T01:23:28,0.08,normal
0xdee8f506da0245b7aa3b6b511a8ee253,0x3224886ef23f497fbc51504794b24463,0x88093ac69e5c417fa942d76f919e23b1,20.27,USDC,2024-01-02T03:28:28,0.0572,normal
0x0de412adf2334a51b41f288200d01629,0x318d48adc6dd428bbeeb0aa5a0343afd,0x950b1738d2814c86a749a5e9fbfb3cb7,16.67,ETH,2024-01-02T04:55:30,0.0814,normal
0xd5ce37d9e6554e5d99433b8ffefa606c,0x08ce812a41714a1f8f13d4af38360a11,0xaa6bfd8518464c9088545313c846b83c,24.71,DAI,2024-01-02T05:00:27,0.0928,normal
0x91874bd96c064f099510341f9ecce7a8,0xef7ecd2483c9401eac3b47b932951ec3,0xe29ebaf0288547f29d81d4503d836e86,11.96,DAI,2024-01-02T05:42:17,0.0833,normal
0x733d51eef49a4e5595c52258a0290687,0x143997c67b95451389210a91e5ee62df,0x08ce812a41714a1f8f13d4af38360a11,23.97,ETH,2024-01-02T05:53:59,0.0755,normal
0xd409b58bf5fd4dae92c599044e5f5b3f,0x87cc67c5313a43e1a75a63240d098c2d,0x1bc254100d8e4af08260e1c658c7495d,3.11,DAI,2024-01-02T06:53:25,0.0352,normal
0xcdbc4f63fefb4e78865502e98bec6239,0x950b1738d2814c86a749a5e9fbfb3cb7,0x3224886ef23f497fbc51504794b24463,13.61,USDC,2024-01-02T07:20:45,0.0645,normal
0x82e39be125124a5e8f1e54eee9c3418f,0x415201cdaeb846c79ee9cd73e0b27c5c,0x2bc3c3d9b83849c4b0ebf2387d85d09b,23.02,DAI,2024-01-02T08:29:46,0.047,normal
0xf53f1de131a949a2bf18358fdf41619f,0x83651eb8429a4dd58b22eb56092500dc,0xa7703940e9024409be8f347debfe7412,22.91,DAI,2024-01-02T10:15:10,0.0286,normal
0xac57e265e56f4ad98a4dfdf07b5b3dbf,0xadc3343e111d4c08bff04d7d14da698c,0x9cb2aa856e5847e1a1f4ea1bb238a18a,15.34,DAI,2024-01-02T11:52:17,0.0514,normal
0xb5609abc9ae4478f9483444d7143c769,0x1bc254100d8e4af08260e1c658c7495d,0x2bc3c3d9b83849c4b0ebf2387d85d09b,6.54,ETH,2024-01-02T12:20:04,0.0787,normal
0xa1f72e7e7b394f81858b14c35fa8d4e3,0x653dac7eb03440ea806fcd34260dad4c,0xacfab84ca2b74596ab15b8af858ba245,24.25,DAI,2024-01-02T12:28:46,0.0847,normal
0x16f5b64e91464d39894698b08215bd08,0x8fcd46e3107943b9acc04c64c118912f,0x6a5c17e8f3894b0eae12aa3f11cb0b3c,14.24,ETH,2024-01-02T13:43:55,0.0727,normal
0xf7938693ee744101a72337a1ab70e071,0xceff005356f4400493a6378731b96d48,0x1f1d97ef87e04831b31f631650fb1bca,9.56,ETH,2024-01-02T14:27:58,0.0715,normal
0xe032dbf1e7ad4e9cbd4dde7d14d37a6a,0x82a84288f0ed4d89a9583a7f6be5c731,0x94ea23b2e5744092b206ade97e70474f,9.83,DAI,2024-01-02T15:01:20,0.0746,normal
0x1df5e8c59da346329a42d2e7e6275bfb,0xb9c293a0293944faacd1e64f4bb33428,0x56710a0846c24f878a53f5ae720a712a,20.19,USDC,2024-01-02T15:16:44,0.0216,normal
0xa0c6d1dce19e4b5cb005dea602ccc90e,0x972d6323c3544631a5f74412f679de8f,0x42662341761d4799b4035f68f7e25be5,23.18,ETH,2024-01-02T18:08:32,0.0677,normal
0xd66a63eda80b453486e57ecfbee8be56,0x8dfce7594259413ebd80ba6d41c1d185,0xc47c1e493cab4016a7de6e573b0d2f3f,24.1,ETH,2024-01-02T19:05:41,0.0505,normal
0x0f91403755ff461da1727735028feffa,0xeb246bac879848bf89160895a30fbbd1,0x1f1d97ef87e04831b31f631650fb1bca,8.31,DAI,2024-01-02T19:15:11,0.0696,normal
0x986e9029a25540dfb510269cdf49bb1b,0x59ec925466a742e692583f5035764e78,0xaffe05683b1740bbbfea0058304e44ba,21.8,USDC,2024-01-02T20:06:25,0.0261,normal
0x845f7de936aa4bae9aa826da4f3bcc4e,0x08ce812a41714a1f8f13d4af38360a11,0x636362f8f8f64be1ad7f2a95739c20fd,8.02,ETH,2024-01-02T20:30:42,0.0415,normal
0xc0baeb00b4e247e290c2c22242cadbc3,0x6c80803d909f4e21b56e96a4b1a53a85,0x96bcfd8c08d44105b46f3fab31fa1ef2,9.63,USDC,2024-01-02T21:00:04,0.073,normal
0x33839ca4dfc94b4598bd56f368f1ba50,0x22c2f1089e334a5e90a7f4dc6c0b852e,0xe262df4bd28043fd8152ba02f338e55e,17.31,DAI,2024-01-02T21:18:18,0.0255,normal
0xbfbe25c5eded462497a36d8c95a9f01a,0x89e73f4214224b3fa615e2a4e5bd89ae,0x0e61f4ceb7b041ce8a50e2e2ceddd40e,0.52,USDC,2024-01-02T22:18:43,0.0679,normal
0x9381c6ef93e34c1d88dc3e7f1c316325,0x60cd88eed2044695b88cceb499a279e9,0xb3559e29a96e4643ab69bb7764d57b7d,7.73,ETH,2024-01-02T22:29:39,0.0458,normal
0xf530365a6efc45fd9398ee9d6078e80d,0x9e0d740d9462421db393b155f0c33d0a,0x0e61f4ceb7b041ce8a50e2e2ceddd40e,4.49,ETH,2024-01-03T04:33:13,0.0669,normal
0xfd7797029a6f4c99980f7bb80d96c012,0x8cc1c0e0ef224646aec1396349441916,0xd3c91c03878a4735870ce4b1e351e1ba,8.78,DAI,2024-01-03T05:14:33,0.0557,normal
0x32ab2dd42a334702b5d6b83349357840,0x9e0d740d9462421db393b155f0c33d0a,0x4e9d44ea3cb4489da3001a64b7c7647e,11.26,DAI,2024-01-03T05:22:45,0.0586,normal
0x04d9f32a24fe410cb3a0f10726e0c537,0x8cc1c0e0ef224646aec1396349441916,0x0a27ab6ea40c496590d72566a048d1e6,20.01,DAI,2024-01-03T06:32:54,0.0937,normal
0xd03396c339824f9caaa9b93689d31932,0x653dac7eb03440ea806fcd34260dad4c,0x8821148039bc41c58dc4f63950da863e,15.49,USDC,2024-01-03T08:18:04,0.0372,normal
0xff52e48496e64cf2afde7c8bd78fbe5f,0x064323be11ae4a7cbc6122e6d1aeadae,0xabc4f625e1034f889c46a2f5946db3f8,7.36,USDC,2024-01-03T10:20:49,0.0694,normal
0x6c183e2cca4144f480f73250508cb247,0x73cae54aad4a46569c9f4aa9e66fe052,0x1e0bb5bebacc42b6975587132dfd62d9,17.79,DAI,2024-01-03T13:22:46,0.0328,normal
0xf65636dd7c764db2ae5477defd25472d,0x60cd88eed2044695b88cceb499a279e9,0x08ce812a41714a1f8f13d4af38360a11,16.89,DAI,2024-01-03T14:52:20,0.0584,normal
0x0bad4f70849941929589cf44d8ddf9ab,0xecfb4a299f384994ada8ca8778307732,0x9cb2aa856e5847e1a1f4ea1bb238a18a,24.3,USDC,2024-01-03T17:52:18,0.0325,normal
0xdb173b690f874c55a8d7f92d1e86b87c,0x653dac7eb03440ea806fcd34260dad4c,0x65c1005a9d1a42398c59fbf53a51c533,2.64,DAI,2024-01-03T18:01:50,0.0943,normal
0x2be1e941822f47b5ae1030942444c59b,0x76a9ac55c75644de95ade7599ce75a46,0x57739a352c9243e0a56680fc11b1a325,16.39,USDC,2024-01-03T19:37:08,0.0731,normal
0x6d155f0f079945499965e34e5187960d,0x79a606859ed04e07b56a4554090d10c6,0x523e5a580a3c41f9a4edf18ef5781f3c,9.06,ETH,2024-01-03T19:48:39,0.0376,normal
0xaa6fdb48f1b548d896ae7782a5358e96,0x666e0464af1c4140bb5afff882c59ae9,0x94ea23b2e5744092b206ade97e70474f,13.36,DAI,2024-01-03T19:55:34,0.0669,normal
0x6bb4392aa3384b2d97edb2a938c0f3f0,0xb9c293a0293944faacd1e64f4bb33428,0x108e463b41e443cabdf8f811197b0782,24.85,ETH,2024-01-03T21:19:09,0.0659,normal
0xf798f5d560554d2dbd4ccb4c0e76b845,0x435d1a64ca6443bb83ee717491c73272,0xbd9c3d9ec7e34c4697b92659a05e27f4,12.83,ETH,2024-01-03T21:44:59,0.0482,normal
0xabcaa07494fa4a988279aa12c2291d3a,0xa7703940e9024409be8f347debfe7412,0x97b745a9117348db81490852da41efc4,16.88,USDC,2024-01-03T22:03:01,0.0068,normal
0x0acb7c1ebc1e41c38562cc3ecae1200f,0x415201cdaeb846c79ee9cd73e0b27c5c,0x69dd522cf65848508b264892b1b6b6d5,7.51,DAI,2024-01-03T22:40:36,0.0748,normal
0xef277ef728fa407596490df4531ee8b1,0xa43421bf4a04461587793f975a4c27a9,0x1a95c6a6010445a6b6dabf863d6cdc8c,24.44,ETH,2024-01-03T22:58:51,0.0529,normal
0x4d131d1b563841279f83b025559a7a4e,0x96c86c9abd4a4dab848b64580f35796c,0xadc3343e111d4c08bff04d7d14da698c,11.28,DAI,2024-01-03T23:16:34,0.0888,normal
0x65afec5db93544babcffaf502aa2918d,0x200107a0d89c489a8c9a1f6f268ca1b6,0x2bc3c3d9b83849c4b0ebf2387d85d09b,5.97,DAI,2024-01-03T23:40:46,0.0079,normal
0xda4cf0af83124bb4a5fefdae2bf36fc1,0x7cdc7819ed0a4f5b97d7debca5db447a,0x3224886ef23f497fbc51504794b24463,11.66,USDC,2024-01-03T23:59:13,0.0109,normal
0x96232c308eb24570894c21c39af5dcce,0x83eb346c6f214385b5a63eec1868c0f6,0xc91a408917f245bbaabbf3f6d6d436a6,20.6,ETH,2024-01-04T01:13:37,0.0041,normal
0x3032e17fca3346f89d97a66692d9cdc6,0x064323be11ae4a7cbc6122e6d1aeadae,0x200107a0d89c489a8c9a1f6f268ca1b6,5.77,ETH,2024-01-04T01:20:35,0.033,normal
0x8b66527679534c79a9f56a0b9316db0e,0x454886b6969a483e9ba8a6039c962a6e,0x8fcd46e3107943b9acc04c64c118912f,2.86,DAI,2024-01-04T01:48:23,0.0446,normal
0x7a97662802774423bd7d621a091ce656,0x45945a580e474f45bd796f6f92745040,0x87cc67c5313a43e1a75a63240d098c2d,16.92,DAI,2024-01-04T02:36:52,0.0853,normal
0x0176706918004f219691a37f099dbe58,0xb3559e29a96e4643ab69bb7764d57b7d,0x8ec1b33f67f84a368922dd0d1ef4537c,12.14,DAI,2024-01-04T03:13:32,0.0887,normal
0x91fc61f82e7740ad8ea67431db5ba158,0x36deba8c2ab0423eb6c7d4f4720c41e0,0xa7703940e9024409be8f347debfe7412,15.71,DAI,2024-01-04T04:29:31,0.0732,normal
0x90c57286b6ec4e2986c633d4b2706b12,0x5371f28c8d6e43b9b55c01d68f2a2c45,0x4035781222594b13be22ccaf54b0a5f3,17.01,USDC,2024-01-04T04:49:00,0.0867,normal
0x58d3158da8944875a44acc4ac17ac5fe,0xbd9c3d9ec7e34c4697b92659a05e27f4,0x972d6323c3544631a5f74412f679de8f,10.78,USDC,2024-01-04T05:10:53,0.0757,normal
0x12b0e7080b1546d3a07bb7b8174ff271,0xcb162143ec4c48a391b4a59e30661356,0x88093ac69e5c417fa942d76f919e23b1,15.99,USDC,2024-01-04T07:48:20,0.0601,normal
0x80681795f340436bb254e81be224eaa5,0x6a5c17e8f3894b0eae12aa3f11cb0b3c,0x83651eb8429a4dd58b22eb56092500dc,19.41,ETH,2024-01-04T08:06:34,0.0945,normal
0x359d97ac0f41404bbb2a49718537273e,0x75b228cc070841e7820725eb524710ea,0x064323be11ae4a7cbc6122e6d1aeadae,3.63,USDC,2024-01-04T12:26:56,0.0758,normal
0x0638c2bcd0ac4e448f9e547a50acd24e,0xbfe7e507e7fa4130ab7c12b38ba00e43,0xdff89ee27c494511afe7569af62bebc5,6.23,ETH,2024-01-04T13:59:53,0.0244,normal
0x79939d677b744f588836de3fb6c8c3ad,0x1a95c6a6010445a6b6dabf863d6cdc8c,0xbc39ba0c37844ed4b934272fd3e8b420,21.26,USDC,2024-01-04T15:30:37,0.0171,normal
0x26f2c5c43e5242c1bc95ea2a96455b27,0xbc39ba0c37844ed4b934272fd3e8b420,0xbae7f63e61964e4db81eb9726835ac5d,21.79,ETH,2024-01-04T15:49:09,0.0942,normal
0x0048ce4813964910a50218fe3c5632bf,0x69dd522cf65848508b264892b1b6b6d5,0x77565aa0bdc2481a8a50c97d000f217a,9.77,USDC,2024-01-04T17:56:06,0.0331,normal
0x3dd02393b3e046109d8b3735c2150d1c,0xdc05706c044b469fbd213ba6a8aa5ab8,0x29d26f37f88f419fbcf41f8abba2bbee,4.88,USDC,2024-01-04T18:26:31,0.0413,normal
0x58673f388b9042bca7f80460b8cf7f74,0xa307b8956ff04e3c8f6488a6b7e2a613,0x784f2ecc34934da5a5e8eadc105badb3,3.53,DAI,2024-01-04T18:53:43,0.0862,normal
0x2533816e49124f4bb1230ea8e59c2674,0x6eef530d6d0041b4bd966476a89c8542,0x88093ac69e5c417fa942d76f919e23b1,1.36,USDC,2024-01-04T20:01:44,0.0614,normal
0xcf6751129f394096bbd3b0c9fa829b96,0x83651eb8429a4dd58b22eb56092500dc,0xbae7f63e61964e4db81eb9726835ac5d,1.82,DAI,2024-01-04T20:35:10,0.0437,normal
0x55c84fac01d449b68d37d1ffa8c22350,0xffee975c994040f3a966e8dad1301096,0x83651eb8429a4dd58b22eb56092500dc,16.04,DAI,2024-01-04T20:52:16,0.0911,normal
0x67caddc46b824cdeb702f8da5807174a,0xadc3343e111d4c08bff04d7d14da698c,0x87cc67c5313a43e1a75a63240d098c2d,16.94,DAI,2024-01-05T00:07:54,0.0982,normal
0xe7487e9eab414b9bab02711a43f87947,0xa5bd25a3215c4c5589b5d1cbfe28399f,0x77565aa0bdc2481a8a50c97d000f217a,4.22,ETH,2024-01-05T00:44:11,0.0528,normal
0x5c8e8931b20b480da1efc5c4bc3df7c3,0xaf976802211e42eabb381dacdadde725,0xdaf1954200014d898ed782bd03d10ac8,16.55,USDC,2024-01-05T00:57:58,0.0849,normal
0x8a06238a016e4130b1ff0aba660c3652,0x5371f28c8d6e43b9b55c01d68f2a2c45,0x77565aa0bdc2481a8a50c97d000f217a,1.49,USDC,2024-01-05T03:38:48,0.0806,normal
0xf5f7e6822955405fb6d56221b243f9c0,0x523e5a580a3c41f9a4edf18ef5781f3c,0xd8de82f73430498c917c0ee8794a30d5,1.66,DAI,2024-01-05T03:50:39,0.0137,normal
0x28dcf5de76044ee19d81d3e08114c2c0,0x5669910a08ad49298a76eac862d6f2c9,0x8dfce7594259413ebd80ba6d41c1d185,11.36,USDC,2024-01-05T03:59:52,0.0646,normal
0xca9d33a0bde842d7a99082f17e4322ae,0xb3559e29a96e4643ab69bb7764d57b7d,0x1f1d97ef87e04831b31f631650fb1bca,23.0,USDC,2024-01-05T05:22:17,0.0808,normal
0xf96039b54c3f4241b46ed9859d771ea8,0x5371f28c8d6e43b9b55c01d68f2a2c45,0x331fc9ca89ba4f6c89cce5b97d815ae2,18.11,DAI,2024-01-05T05:25:56,0.0024,normal
0x2298be092b384be0b433d9eda79d1490,0x83651eb8429a4dd58b22eb56092500dc,0x7d17e69b8cad44379438bc73e2a33adc,7.41,DAI,2024-01-05T11:35:04,0.0409,normal
0x3f5d9c70dd404a3e870bfae98985f042,0x14a58964dbd24c5097f550103dd3ab59,0x94ea23b2e5744092b206ade97e70474f,14.27,USDC,2024-01-05T11:37:44,0.0714,normal
0xfc77a382ca0d4e62bc72be1dc220ebdf,0x5669910a08ad49298a76eac862d6f2c9,0x75b228cc070841e7820725eb524710ea,12.68,USDC,2024-01-05T12:51:54,0.0622,normal
0xf906a168f4a64524905e7d6ecf227a10,0xd3c91c03878a4735870ce4b1e351e1ba,0xf0097447950d4fbf919d6ae2bef6eeef,11.55,ETH,2024-01-05T14:45:36,0.0692,normal
